group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
quicksort,,,,,1131950.0,ns,4
quicksort,,,,,2295622.0,ns,8
quicksort,,,,,3464952.0,ns,12
quicksort,,,,,4551363.0,ns,16
quicksort,,,,,5656994.0,ns,20
quicksort,,,,,6812594.0,ns,24
quicksort,,,,,7949586.0,ns,28
quicksort,,,,,9067156.0,ns,32
quicksort,,,,,10188767.0,ns,36
quicksort,,,,,11280528.0,ns,40
quicksort,,,,,12436028.0,ns,44
quicksort,,,,,13572989.0,ns,48
quicksort,,,,,14672320.0,ns,52
quicksort,,,,,15793410.0,ns,56
quicksort,,,,,16941562.0,ns,60
quicksort,,,,,18038772.0,ns,64
quicksort,,,,,19219543.0,ns,68
quicksort,,,,,20298763.0,ns,72
quicksort,,,,,21426365.0,ns,76
quicksort,,,,,22595655.0,ns,80
quicksort,,,,,23736886.0,ns,84
quicksort,,,,,24837237.0,ns,88
quicksort,,,,,26177607.0,ns,92
quicksort,,,,,27169178.0,ns,96
quicksort,,,,,28313020.0,ns,100
quicksort,,,,,31915401.0,ns,104
quicksort,,,,,33208852.0,ns,108
quicksort,,,,,33814723.0,ns,112
quicksort,,,,,33458772.0,ns,116
quicksort,,,,,34142463.0,ns,120
quicksort,,,,,35200064.0,ns,124
quicksort,,,,,36129554.0,ns,128
quicksort,,,,,37347126.0,ns,132
quicksort,,,,,38393025.0,ns,136
quicksort,,,,,39534597.0,ns,140
quicksort,,,,,40651977.0,ns,144
quicksort,,,,,41788498.0,ns,148
quicksort,,,,,42898359.0,ns,152
quicksort,,,,,44014120.0,ns,156
quicksort,,,,,45252220.0,ns,160
quicksort,,,,,46548241.0,ns,164
quicksort,,,,,47474663.0,ns,168
quicksort,,,,,48551412.0,ns,172
quicksort,,,,,49641743.0,ns,176
quicksort,,,,,50848984.0,ns,180
quicksort,,,,,51995346.0,ns,184
quicksort,,,,,53100925.0,ns,188
quicksort,,,,,54791227.0,ns,192
quicksort,,,,,55361477.0,ns,196
quicksort,,,,,56863289.0,ns,200
quicksort,,,,,58043448.0,ns,204
quicksort,,,,,58740770.0,ns,208
quicksort,,,,,59873660.0,ns,212
quicksort,,,,,61026951.0,ns,216
quicksort,,,,,62268442.0,ns,220
quicksort,,,,,63288663.0,ns,224
quicksort,,,,,64672703.0,ns,228
quicksort,,,,,65591524.0,ns,232
quicksort,,,,,66751255.0,ns,236
quicksort,,,,,67750916.0,ns,240
quicksort,,,,,68872016.0,ns,244
quicksort,,,,,70061647.0,ns,248
quicksort,,,,,71189988.0,ns,252
quicksort,,,,,72265848.0,ns,256
quicksort,,,,,73479220.0,ns,260
quicksort,,,,,75081330.0,ns,264
quicksort,,,,,75911641.0,ns,268
quicksort,,,,,76868242.0,ns,272
quicksort,,,,,77944933.0,ns,276
quicksort,,,,,79035352.0,ns,280
quicksort,,,,,80249705.0,ns,284
quicksort,,,,,81376564.0,ns,288
quicksort,,,,,82411485.0,ns,292
quicksort,,,,,83579807.0,ns,296
quicksort,,,,,84692987.0,ns,300
quicksort,,,,,85801067.0,ns,304
quicksort,,,,,86988779.0,ns,308
quicksort,,,,,88372229.0,ns,312
quicksort,,,,,89663410.0,ns,316
quicksort,,,,,90391221.0,ns,320
quicksort,,,,,91603832.0,ns,324
quicksort,,,,,92594822.0,ns,328
quicksort,,,,,93774953.0,ns,332
quicksort,,,,,95303444.0,ns,336
quicksort,,,,,95921414.0,ns,340
quicksort,,,,,97092016.0,ns,344
quicksort,,,,,98226976.0,ns,348
quicksort,,,,,99516937.0,ns,352
quicksort,,,,,109393343.0,ns,356
quicksort,,,,,102058069.0,ns,360
quicksort,,,,,102882339.0,ns,364
quicksort,,,,,103860380.0,ns,368
quicksort,,,,,105162421.0,ns,372
quicksort,,,,,106394301.0,ns,376
quicksort,,,,,107276742.0,ns,380
quicksort,,,,,108526113.0,ns,384
quicksort,,,,,109503154.0,ns,388
quicksort,,,,,110937934.0,ns,392
quicksort,,,,,112167406.0,ns,396
quicksort,,,,,112963886.0,ns,400
